Id,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
2906,28.0,88.7,13.5,25.9,23.7,18.5,0.94,8.6,546,Moderate
4301,25.2,71.0,10.8,14.9,14.6,5.8,1.05,12.6,479,Good
2759,27.9,65.4,88.9,96.5,35.9,11.4,1.99,8.2,718,Poor
1398,23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313,Good
1659,31.3,68.9,31.4,32.5,32.7,6.6,1.65,8.0,489,Moderate
979,33.7,102.4,36.7,64.5,31.5,12.3,1.57,4.1,722,Poor
1298,23.4,68.0,5.5,10.6,25.5,2.0,1.09,12.0,471,Good
3555,31.1,66.0,4.5,6.0,24.2,7.7,1.57,6.4,694,Moderate
82,31.6,74.8,28.5,45.8,25.4,16.3,2.29,4.7,782,Poor
4507,25.9,49.6,1.0,12.6,23.0,16.9,1.96,5.5,592,Moderate
2458,29.6,44.0,3.6,10.2,22.3,7.5,1.11,10.2,484,Good
3739,20.0,55.0,9.7,17.2,14.7,7.1,1.0,12.8,283,Good
3781,30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,Moderate
2288,30.8,60.9,7.2,20.0,36.1,13.7,1.37,5.1,342,Moderate
423,29.5,79.8,12.8,29.8,33.2,13.3,1.1,5.9,389,Moderate
4339,24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,Good
1904,23.6,70.0,15.2,17.8,22.2,5.5,1.11,11.5,482,Good
4538,24.0,64.7,6.5,10.9,18.4,1.9,1.0,10.6,455,Good
3352,28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604,Moderate
3102,37.7,73.8,16.9,36.9,40.0,25.8,2.3,5.1,451,Poor
1565,34.9,71.7,9.3,19.4,34.4,7.3,1.57,6.4,577,Moderate
3355,31.9,74.7,15.3,33.9,48.0,13.6,2.29,5.6,756,Poor
839,31.1,52.6,23.6,27.8,26.9,4.3,1.56,6.6,416,Moderate
500,33.9,94.5,8.9,15.1,33.2,11.7,1.89,4.3,680,Poor
141,36.6,91.9,10.5,20.2,22.9,5.5,1.58,6.4,409,Poor
1377,23.0,50.9,19.3,20.7,21.4,6.9,1.0,12.6,454,Good
3697,45.5,67.6,51.4,64.5,36.9,9.4,1.93,4.2,467,Poor
2144,37.0,96.6,14.8,25.2,40.6,14.7,2.11,10.2,673,Poor
1138,40.4,107.6,31.2,56.4,41.8,19.9,2.14,7.4,767,Hazardous
2927,30.2,72.3,3.4,14.2,28.2,8.5,1.84,6.9,422,Moderate
1787,33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,Moderate
3484,32.8,100.5,21.8,37.5,29.6,6.6,2.94,6.1,774,Hazardous
550,26.7,50.1,33.2,43.6,26.9,11.5,1.23,10.8,651,Moderate
4906,45.3,85.9,23.3,50.1,33.3,19.9,2.45,7.9,715,Hazardous
2019,24.3,76.5,27.1,34.1,23.4,3.1,0.98,11.0,387,Good
948,31.2,75.2,56.6,62.7,23.7,15.6,1.4,5.8,480,Moderate
2600,33.2,66.6,0.0,8.7,33.6,2.4,1.79,5.6,535,Moderate
532,23.9,73.6,2.0,12.0,18.5,3.2,1.08,11.1,239,Good
1829,32.1,66.3,19.9,28.8,33.3,20.6,1.68,6.5,474,Poor
2917,19.1,54.7,9.4,15.5,16.9,4.7,0.92,10.3,531,Good
4418,24.7,87.2,15.5,25.1,33.3,17.7,2.27,5.1,670,Poor
3871,36.2,95.0,9.8,31.8,34.3,24.1,2.12,6.9,681,Poor
1602,36.5,81.1,14.2,34.5,37.1,11.8,1.91,4.3,610,Poor
639,23.8,50.1,11.6,16.5,14.1,3.6,0.91,10.5,483,Good
4832,26.9,59.1,21.4,33.0,22.2,9.2,1.14,5.5,398,Moderate
967,21.0,93.8,6.3,19.4,37.5,13.6,2.18,3.9,669,Poor
4237,25.4,53.2,9.6,12.3,20.4,1.5,1.14,10.3,493,Good
2697,25.2,75.4,7.6,14.2,30.4,2.9,1.46,6.0,536,Moderate
1683,33.8,72.1,3.7,18.3,29.7,6.8,1.16,5.9,625,Moderate
4470,38.2,71.9,0.7,27.3,29.7,23.8,2.18,4.8,593,Poor
2342,24.4,44.8,4.1,7.4,23.7,4.0,0.91,11.9,241,Good
155,29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,Poor
2487,21.4,78.9,0.5,6.7,13.1,1.9,1.02,10.7,579,Good
4641,29.0,51.2,7.6,16.0,30.6,15.2,1.48,5.8,660,Moderate
1089,30.9,90.8,15.0,29.6,29.0,8.3,1.38,10.3,640,Moderate
2655,24.6,82.8,5.6,19.8,28.7,19.1,2.02,8.0,710,Poor
4240,34.6,69.0,49.0,62.9,26.9,12.1,2.2,6.0,721,Poor
288,27.1,46.8,26.3,34.7,16.5,6.6,0.92,10.6,428,Good
930,28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,264,Good
2535,32.9,102.4,26.6,41.3,26.6,15.7,1.86,5.4,394,Poor
4028,20.2,59.0,11.5,16.7,19.3,7.2,0.99,10.4,393,Good
3371,32.7,79.1,17.2,29.7,23.9,17.0,1.25,7.5,504,Moderate
4621,38.8,90.8,12.6,20.3,29.3,8.3,1.57,6.9,630,Moderate
3291,44.6,70.1,58.9,79.8,45.1,16.8,2.52,4.1,658,Hazardous
942,23.7,66.3,11.8,14.4,12.2,1.9,0.79,12.0,248,Good
3859,37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,Hazardous
4662,18.0,68.7,6.0,9.3,21.2,6.5,1.15,15.9,266,Good
1698,24.6,51.3,3.9,8.0,21.7,5.9,0.98,12.8,454,Good
4708,37.9,79.6,28.0,37.4,33.2,13.6,1.93,4.9,608,Poor
3200,37.1,105.9,2.5,17.2,28.3,14.5,1.63,5.5,501,Poor
4601,21.9,52.7,7.3,13.7,26.9,5.8,1.16,12.2,232,Good
4608,34.9,95.7,44.1,70.5,39.6,30.4,2.09,5.8,745,Hazardous
985,40.1,70.6,9.2,17.9,29.2,18.0,2.16,4.6,569,Poor
3318,18.9,45.9,2.1,6.2,19.5,1.9,0.92,11.1,495,Good
2867,19.5,49.8,21.5,25.5,23.9,6.5,1.07,12.0,503,Good
4056,23.5,51.9,5.2,15.0,14.4,0.5,1.41,5.9,475,Moderate
4777,23.9,42.1,19.2,25.4,16.8,5.2,1.12,11.6,352,Good
981,31.3,100.3,7.0,26.4,30.4,20.2,2.19,4.2,770,Poor
2492,36.9,83.1,8.9,34.8,52.1,1.5,2.89,3.3,648,Hazardous
3792,22.6,56.6,34.2,48.3,23.4,7.8,1.8,8.3,630,Moderate
3548,34.2,93.5,65.0,77.5,26.1,13.1,1.3,5.6,438,Moderate
2942,40.6,92.2,80.4,103.6,45.8,12.1,1.97,6.8,744,Poor
3527,42.9,104.0,52.5,80.9,22.9,13.0,2.42,4.4,680,Poor
3845,20.6,67.3,7.4,14.1,12.7,2.3,1.09,10.3,484,Good
1457,23.2,67.0,8.1,14.5,12.4,3.8,0.89,10.5,222,Good
1395,36.8,79.1,1.7,14.1,37.1,19.1,2.17,4.0,659,Poor
264,26.7,52.8,27.3,31.8,15.6,1.9,0.89,11.9,318,Good
4095,39.8,73.3,83.2,90.4,16.3,12.5,2.36,5.4,666,Poor
929,24.4,66.2,2.9,8.6,20.8,5.6,0.93,13.1,467,Good
4871,25.5,51.0,10.2,14.7,14.7,6.1,1.07,11.0,214,Good
2692,32.3,69.0,1.1,13.5,23.9,9.9,1.39,5.8,461,Moderate
246,28.4,75.9,17.2,27.6,15.5,7.1,1.15,11.1,338,Good
3589,39.5,109.6,84.7,99.4,30.1,18.9,3.48,3.2,792,Hazardous
1758,31.2,54.0,16.4,22.8,23.0,3.9,1.59,9.4,492,Moderate
4865,31.7,71.7,18.9,24.8,13.5,3.7,0.78,23.4,369,Good
2810,35.5,109.1,77.1,94.8,34.2,21.5,2.42,2.5,870,Hazardous
923,37.8,86.3,11.9,33.1,34.5,14.6,2.14,7.9,535,Poor
2880,26.8,72.5,20.7,35.2,18.5,13.2,1.72,5.4,662,Moderate
268,34.3,89.5,9.4,15.6,28.4,9.4,1.48,6.0,505,Moderate
669,26.4,58.4,10.6,15.2,26.4,6.8,1.0,10.0,350,Good
4475,31.2,90.0,14.9,29.6,29.7,21.6,1.88,4.4,424,Poor
1910,42.7,74.3,38.4,70.8,42.3,20.7,2.58,5.9,729,Hazardous
2985,40.5,83.3,8.8,30.9,22.9,14.1,2.11,8.6,757,Poor
1152,36.2,76.4,35.3,47.4,30.3,9.9,1.54,6.5,309,Moderate
4817,25.5,74.9,42.2,46.7,19.0,3.0,0.94,11.9,421,Good
3455,30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574,Moderate
4241,22.7,44.0,13.0,16.1,16.1,3.4,0.95,12.9,330,Good
4549,26.4,75.1,3.5,8.5,25.1,2.1,0.96,13.4,543,Good
2172,45.9,84.1,40.0,58.3,42.0,25.9,1.94,2.6,951,Hazardous
4515,34.7,61.0,9.4,29.9,22.0,18.7,1.7,5.8,466,Poor
1915,26.8,48.9,32.6,34.3,17.4,5.7,0.92,10.6,233,Good
612,43.5,89.6,20.9,46.8,41.5,14.2,2.31,5.0,594,Hazardous
2406,31.6,68.2,3.4,14.1,20.2,8.8,1.56,5.2,423,Moderate
4205,28.7,52.5,5.8,11.7,13.4,5.9,1.05,15.8,454,Good
1898,27.3,77.9,20.9,33.3,32.8,9.9,1.3,7.5,580,Moderate
1649,30.9,82.0,58.6,79.4,36.7,12.1,2.38,5.7,793,Poor
2607,23.8,48.8,19.9,25.8,26.2,5.6,0.83,10.4,403,Good
258,39.2,73.7,23.5,44.1,43.7,15.4,2.49,3.0,787,Hazardous
847,28.4,51.8,8.3,16.6,20.4,2.4,0.98,11.0,549,Good
4251,29.2,60.8,28.6,47.1,32.4,25.0,1.41,4.9,611,Poor
1233,34.8,70.4,28.9,46.6,35.7,14.4,1.61,4.1,805,Poor
1127,35.8,84.5,0.2,11.8,32.1,6.8,1.38,5.9,352,Moderate
1967,18.7,53.5,28.3,35.6,20.3,4.3,0.94,10.8,530,Good
558,42.9,71.5,30.4,49.9,39.1,18.6,3.22,4.4,715,Hazardous
3905,34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate
484,23.2,40.5,3.0,6.5,21.1,6.4,0.94,11.4,337,Good
1320,29.3,74.8,7.0,13.3,19.8,5.2,1.05,11.6,539,Good
3404,42.9,94.8,37.2,58.6,25.6,12.3,1.95,6.7,490,Poor
7,26.6,42.9,6.1,9.5,25.0,4.6,1.02,10.7,221,Good
3279,26.7,67.6,3.9,7.9,23.5,6.2,0.99,10.4,366,Good
3189,29.0,51.7,8.4,13.0,16.5,5.0,1.01,10.1,226,Good
1450,26.6,95.9,163.1,172.9,32.4,22.5,1.84,4.2,590,Poor
3980,18.0,52.5,5.3,11.4,16.8,3.4,0.9,12.2,550,Good
1814,35.4,58.4,3.0,9.5,27.3,5.4,1.54,6.1,411,Moderate
773,27.8,74.4,13.2,22.2,22.8,6.5,1.69,5.4,422,Moderate
1011,26.3,44.2,16.7,20.4,12.5,4.3,0.95,11.7,397,Good
2818,26.7,77.3,27.1,33.3,24.1,2.5,1.12,10.3,501,Good
3275,35.9,61.0,8.3,18.0,21.4,16.3,1.41,11.6,613,Moderate
1991,21.9,58.3,2.7,5.6,20.6,7.3,0.9,11.1,493,Good
1277,21.9,42.8,3.3,5.8,19.3,3.9,1.12,13.0,546,Good
1783,26.0,54.6,3.9,10.0,23.6,4.3,1.11,11.4,298,Good
3105,28.7,93.1,24.5,32.8,20.5,7.7,1.46,5.5,300,Moderate
446,35.0,58.7,0.6,7.1,19.9,13.2,1.58,5.1,361,Moderate
880,34.0,91.8,12.8,42.5,38.3,4.8,1.76,4.2,633,Hazardous
4459,32.2,59.9,29.3,38.6,32.9,18.3,2.14,6.0,563,Poor
781,40.5,76.1,52.1,80.9,35.7,10.5,2.88,7.3,640,Hazardous
1749,32.4,57.8,18.0,29.1,26.1,9.8,1.71,7.4,299,Moderate
3388,34.4,65.9,44.9,62.7,50.5,9.1,2.37,4.5,574,Hazardous
4881,23.0,43.6,1.7,7.5,24.5,5.9,0.88,10.5,317,Good
883,22.8,62.2,21.4,29.9,23.0,0.5,1.46,6.8,638,Moderate
2944,24.9,64.4,18.5,24.4,23.4,6.6,1.09,10.1,481,Good
1091,26.9,45.3,13.9,18.6,21.4,6.7,0.76,16.1,369,Good
4783,35.6,75.0,29.0,41.8,32.2,11.9,1.95,5.8,748,Poor
531,34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,Moderate
4022,21.5,47.3,10.6,18.8,15.6,6.2,1.0,11.4,271,Good
4421,29.7,93.5,2.9,21.9,30.5,10.0,1.79,3.7,816,Poor
4098,51.3,89.9,13.7,28.8,64.9,20.6,2.18,2.6,807,Hazardous
1727,39.1,73.5,69.8,82.4,33.6,19.4,1.88,3.6,557,Poor
610,29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402,Moderate
570,27.1,70.2,2.0,6.2,23.0,3.5,1.0,10.1,271,Good
2671,26.0,49.6,38.8,43.0,15.1,6.2,1.15,10.2,469,Good
3718,40.8,107.1,11.6,37.6,36.7,5.3,1.94,3.0,750,Hazardous
343,42.0,63.2,36.7,69.0,39.7,11.9,2.49,3.4,798,Hazardous
3000,21.7,53.7,9.6,17.2,26.1,5.8,0.97,10.2,536,Good
3139,23.4,67.7,55.9,57.8,20.9,6.9,0.93,11.2,364,Good
434,31.5,66.1,1.5,9.5,23.4,8.2,1.39,6.6,691,Moderate
1903,24.5,65.3,29.4,38.1,33.4,2.0,1.23,6.0,616,Moderate
3804,33.1,52.0,7.2,15.9,38.9,12.1,1.46,7.3,452,Moderate
4776,39.2,108.0,73.5,88.5,34.0,15.8,1.96,6.2,734,Hazardous
2069,30.4,101.1,28.6,42.6,39.9,4.0,2.2,6.8,639,Poor
1537,31.3,73.8,33.8,46.6,31.0,22.8,1.92,4.6,681,Poor
2252,28.0,76.0,14.1,25.0,28.4,4.2,2.3,4.6,740,Poor
2346,26.4,46.2,18.3,27.0,23.0,2.2,1.07,16.8,254,Good
1517,36.4,111.6,35.8,67.0,43.1,8.3,2.32,8.3,813,Hazardous
965,49.1,93.0,57.2,85.2,36.9,22.3,2.77,3.6,623,Hazardous
4406,41.0,60.0,46.3,58.9,38.9,19.7,1.45,7.2,418,Poor
528,28.9,99.1,29.9,46.2,42.8,6.1,1.99,4.7,594,Hazardous
176,26.2,79.1,28.3,31.9,21.7,7.6,0.93,11.1,230,Good
3482,31.2,60.4,2.5,5.5,22.1,15.1,2.06,3.6,732,Poor
2543,27.5,83.2,6.7,16.6,24.2,10.1,1.63,9.3,566,Moderate
4935,27.5,75.0,1.5,6.6,17.3,3.9,1.26,18.8,449,Good
572,27.1,111.8,2.6,30.7,32.7,23.2,1.93,6.3,691,Poor
2299,45.1,102.9,16.4,49.1,38.4,18.7,2.06,4.8,638,Hazardous
3508,27.2,88.1,12.8,31.5,23.5,14.0,1.94,3.4,576,Poor
2459,27.8,76.1,1.9,10.1,39.1,4.5,1.97,5.6,479,Moderate
3609,24.9,93.1,12.5,18.1,25.0,2.9,2.26,8.6,473,Poor
4554,19.7,47.2,3.0,11.0,12.5,5.9,1.12,24.8,259,Good
2208,23.8,70.3,0.8,12.7,17.8,11.1,1.42,5.5,606,Moderate
4720,35.5,91.0,13.1,17.2,20.7,15.1,1.99,5.4,597,Poor
2755,29.0,100.2,69.8,85.0,26.5,17.0,1.95,4.9,641,Poor
383,27.5,40.4,9.0,14.2,15.8,4.5,1.16,10.3,373,Good
852,29.0,79.2,66.5,82.1,25.8,16.7,1.51,5.3,575,Moderate
1880,33.7,67.9,1.4,13.4,26.2,16.4,1.84,4.9,742,Poor
370,28.4,66.1,35.2,50.0,24.8,7.8,1.2,6.5,311,Moderate
2378,28.0,57.2,2.0,7.0,23.7,7.9,0.92,10.7,419,Good
4323,31.2,83.8,43.8,61.7,20.5,9.2,1.65,7.1,621,Moderate
1105,25.0,80.5,3.1,7.8,15.7,3.0,1.05,11.3,489,Good
3413,35.2,70.4,12.1,31.5,29.9,24.1,2.05,5.6,414,Poor
3946,35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,Moderate
1336,30.0,67.1,2.2,7.8,39.2,17.0,2.0,5.2,793,Poor
2189,31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,Moderate
4594,19.7,50.7,4.4,9.0,10.4,5.6,0.8,17.4,383,Good
2319,38.3,89.3,10.1,28.2,29.5,20.9,1.76,4.7,587,Poor
4705,22.1,56.3,6.8,13.1,25.6,1.5,1.01,11.6,535,Good
3710,24.4,75.5,16.1,20.4,25.3,5.1,0.86,11.3,357,Good
4848,28.3,63.1,59.9,68.3,20.7,0.0,1.22,5.1,399,Moderate
1171,26.0,63.6,26.7,44.6,27.6,6.8,1.38,6.5,444,Moderate
4325,31.0,108.9,2.3,24.7,31.2,11.0,1.72,3.0,704,Hazardous
2694,22.7,53.9,8.1,12.7,23.5,7.1,1.2,10.3,487,Good
1422,25.7,68.7,12.4,16.9,10.0,6.0,1.24,10.3,470,Good
2341,30.3,49.2,50.9,61.1,28.2,6.6,1.39,8.4,425,Moderate
2651,26.6,67.8,11.2,12.1,28.3,4.1,1.01,11.9,551,Good
4155,21.2,52.0,0.2,3.9,17.9,4.5,0.95,10.5,278,Good
1464,32.6,87.0,13.2,31.4,27.2,14.7,1.61,6.1,331,Moderate
874,27.1,69.5,1.2,3.2,23.2,5.5,0.98,15.4,338,Good
3339,37.7,93.3,115.9,145.3,33.2,16.2,2.0,8.2,374,Poor
4340,35.9,78.3,2.7,4.1,19.1,10.8,1.41,5.2,620,Moderate
1251,26.7,65.2,2.7,7.0,17.6,6.8,1.02,11.1,510,Good
2348,29.5,61.5,7.9,11.0,20.5,7.6,0.87,12.2,378,Good
840,25.5,57.8,1.4,7.7,33.0,9.5,1.96,6.9,481,Moderate
4568,32.3,78.2,25.8,39.1,31.5,7.0,1.5,5.2,380,Moderate
581,20.5,80.3,12.6,25.9,33.0,11.4,1.44,6.1,433,Moderate
204,24.6,65.7,0.7,3.7,15.4,5.5,1.08,10.4,211,Good
1641,26.6,60.0,5.0,15.5,32.8,5.3,1.57,6.9,460,Moderate
2014,33.6,88.9,23.3,40.6,31.1,13.5,2.29,7.3,405,Poor
905,26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,Moderate
631,39.8,82.0,14.1,22.2,32.7,12.8,1.26,5.3,457,Moderate
3364,29.4,91.0,25.4,47.2,37.6,19.6,1.66,3.7,675,Poor
1974,25.6,60.3,21.4,34.0,30.4,3.7,1.37,7.8,315,Moderate
162,29.3,75.2,43.5,48.7,22.7,7.7,1.61,11.8,370,Moderate
3172,25.3,54.9,0.8,6.8,27.7,4.6,0.99,12.0,279,Good
3612,36.7,99.0,4.2,19.4,32.1,18.7,2.38,3.9,675,Poor
4675,34.2,62.7,40.0,50.3,23.8,9.3,1.5,5.1,416,Moderate
617,28.5,57.3,18.4,34.9,32.7,13.9,2.54,5.0,486,Poor
4068,23.6,56.0,24.7,29.9,17.1,4.7,1.1,15.0,540,Good
1431,30.6,71.9,7.7,21.3,16.9,3.5,1.73,5.6,593,Moderate
547,28.9,75.0,17.8,26.6,20.0,17.2,1.53,6.9,346,Moderate
3334,28.2,54.0,0.3,12.7,28.4,0.8,1.49,8.8,522,Moderate
4546,40.8,100.7,23.3,39.7,49.3,31.9,2.78,11.2,671,Hazardous
4223,25.5,60.7,9.2,17.3,22.8,6.3,1.05,10.2,421,Good
2387,28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,Moderate
4243,30.5,48.5,4.9,8.0,17.4,3.9,0.95,13.8,371,Good
3995,25.5,56.8,5.6,11.7,24.9,2.5,1.09,11.2,507,Good
4065,23.6,67.9,13.6,31.3,32.5,12.4,1.48,6.2,309,Moderate
1861,40.7,108.7,41.1,79.6,38.8,21.0,2.07,2.7,803,Hazardous
640,31.8,64.1,56.6,67.9,36.6,17.6,2.13,5.4,479,Poor
3902,19.2,51.9,6.3,10.6,20.9,7.7,1.1,10.1,500,Good
637,22.9,72.1,12.5,18.3,32.9,7.7,1.74,5.7,706,Moderate
4262,27.5,80.6,6.3,11.2,21.9,5.4,1.04,12.3,317,Good
3910,34.9,68.1,14.5,27.0,31.2,19.5,2.11,4.4,726,Poor
2986,22.7,53.6,1.5,4.5,23.8,3.3,1.06,12.0,359,Good
2096,24.5,45.3,3.6,9.0,24.4,3.8,0.9,11.2,527,Good
4611,34.7,69.9,29.7,43.7,29.5,11.6,1.6,6.9,398,Moderate
3075,21.7,56.3,13.8,25.0,17.5,6.9,1.09,10.5,605,Good
3674,31.0,71.4,4.3,10.3,19.5,7.9,0.99,11.1,212,Good
2841,29.8,44.0,30.2,31.6,23.9,2.6,0.99,18.6,322,Good
921,31.9,70.7,20.2,28.7,29.2,9.7,1.39,6.4,689,Moderate
546,37.6,80.6,8.5,17.8,25.0,15.2,1.65,4.1,768,Poor
3666,26.2,64.2,1.9,6.6,19.7,6.2,1.05,13.8,369,Good
1900,22.5,59.8,0.7,12.6,30.5,5.2,1.37,8.8,718,Moderate
2028,30.9,98.0,78.8,93.2,27.2,10.7,1.73,5.6,472,Poor
2301,37.6,87.7,13.4,32.0,30.3,13.1,2.41,7.9,825,Poor
1885,23.5,60.1,0.4,7.2,17.2,6.1,1.02,10.1,384,Good
1642,20.3,66.0,3.3,10.1,23.4,5.0,0.81,10.8,291,Good
3509,41.8,75.4,23.7,34.7,37.7,6.8,1.42,5.9,527,Poor
4809,23.0,59.3,10.6,18.8,26.1,15.3,1.42,10.6,337,Moderate
2097,26.2,79.4,9.7,14.5,26.9,7.5,1.02,10.3,322,Good
4357,22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,Good
3788,40.6,72.0,22.6,40.5,39.9,15.9,2.46,5.1,513,Hazardous
4494,35.2,82.6,24.9,43.4,36.3,8.1,1.99,5.7,419,Poor
4967,31.3,71.5,20.2,28.6,21.6,4.4,1.02,13.7,306,Good
836,41.5,94.0,62.1,79.4,30.0,20.0,2.8,7.8,547,Hazardous
601,30.6,94.9,10.5,34.9,26.5,12.1,2.44,6.0,444,Poor
2184,26.8,65.2,9.7,15.8,13.4,7.7,0.81,12.8,282,Good
3865,20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,Good
2481,27.8,61.2,16.3,24.1,10.6,6.8,1.19,11.1,365,Good
4307,26.7,42.5,1.4,4.7,21.1,5.6,1.07,10.2,484,Good
1582,20.1,77.9,1.4,4.9,14.9,2.1,0.88,10.5,536,Good
